1,DWG ShowMaker,Challenger,1659 LP,277,58%
2,bieyanlezz ,Challenger,1655 LP,60,69%
3,김건북극곰,Challenger,1578 LP,185,66%
4,급할수록도라미,Challenger,1528 LP,50,68%
5,쪼렙이다말로하자,Challenger,1520 LP,315,53%
6,Destiny,Challenger,1503 LP,208,52%
7,xu xu bao bao,Challenger,1414 LP,89,62%
8,오뚜기3분미트볼,Challenger,1401 LP,195,62%
9,KzcXaz,Challenger,1400 LP,90,56%
10,JUGKlNG,Challenger,1362 LP,199,68%
11,jkjkjkjkk,Challenger,1340 LP,459,54%
12,HLE Viper,Challenger,1340 LP,299,55%
13,Swordart777,Challenger,1316 LP,188,55%
14,용호야,Challenger,1335 LP,115,57%
15,Lehends,Challenger,1327 LP,281,55%
16,K T,Challenger,1325 LP,59,68%
17,T1 BurdoI,Challenger,1288 LP,240,53%
18,SPG Prince,Challenger,1283 LP,448,55%
19,사람이름이윤용호,Challenger,1278 LP,68,62%
20,knightzz,Challenger,1258 LP,75,58%
21,See u AG,Challenger,1246 LP,199,58%
22,ping siba,Challenger,1241 LP,491,53%
23,장래희망우솝,Challenger,1241 LP,66,56%
24,DRX Deft,Challenger,1235 LP,315,54%
25,KZ Quad,Challenger,1232 LP,55,68%
26,black svvan,Challenger,1215 LP,82,54%
27,읽씹맨,Challenger,1214 LP,321,57%
28,곽곽보성,Challenger,1212 LP,288,55%
29,다없수질,Challenger,1187 LP,327,55%
30,supupsupupsupup,Challenger,1210 LP,242,55%
31,미카엘갈게요,Challenger,1203 LP,382,54%
32,소나잔나,Challenger,1203 LP,129,59%
33,주먹밥쿵야1,Challenger,1201 LP,197,59%
34,szygszn,Challenger,1199 LP,197,53%
35,꿈의 남자,Challenger,1195 LP,194,54%
36,fengjianjian,Challenger,1193 LP,115,58%
37,나는대포너는머포,Challenger,1199 LP,230,53%
38,ZED99,Challenger,1181 LP,73,63%
39,SPG Zzus,Challenger,1181 LP,119,55%
40,feng ji xu chui,Challenger,1175 LP,142,56%
41,DWG Canyon,Challenger,1170 LP,181,55%
42,실망자,Challenger,1162 LP,158,56%
43,zwhy,Challenger,1153 LP,91,58%
44,게복치 숟가락,Challenger,1150 LP,73,56%
45,KT Malrang,Challenger,1148 LP,265,56%
46,KT Ucal,Challenger,1147 LP,218,57%
47,DWG BeryL,Challenger,1144 LP,336,55%
48,남동현,Challenger,1142 LP,294,55%
49,10k EGO,Challenger,1158 LP,99,54%
50,mogubaby,Challenger,1155 LP,51,73%
51,Sei2e the day,Challenger,1139 LP,77,54%
52,댕청잇,Challenger,1138 LP,122,54%
53,TDBY,Challenger,1124 LP,161,60%
54,deokdam,Challenger,1118 LP,272,62%
55,Axiyo,Challenger,1116 LP,135,51%
56,크로꼬,Challenger,1096 LP,397,55%
57,Peach1119,Challenger,1100 LP,91,55%
58,Time will telli,Challenger,1099 LP,99,55%
59,호잇이,Challenger,1114 LP,416,53%
60,I still remember,Challenger,1109 LP,122,54%
61,요붕스1,Challenger,1092 LP,74,55%
62,트위치 헤돈,Challenger,1084 LP,382,54%
63,madkoed,Challenger,1081 LP,224,53%
64,APK Mia,Challenger,1076 LP,190,55%
65,la1st,Challenger,1074 LP,337,52%
66,hfdidi,Challenger,1068 LP,187,52%
67,T1 제우스,Challenger,1068 LP,252,51%
68,Gen G Clid,Challenger,1068 LP,390,55%
69,mente1,Challenger,1064 LP,98,58%
70,못먹겟어삼각김밥,Challenger,1061 LP,296,55%
71,VG GODlong,Challenger,1078 LP,99,54%
72,모두모두행복하길,Challenger,1059 LP,47,76%
73,T1 Ellim,Challenger,1059 LP,188,59%
74,vdsqwqerx,Challenger,1045 LP,79,54%
75,Chen Wei T1ng,Challenger,1039 LP,161,51%
76,EM 엔비,Challenger,1039 LP,155,54%
77,Crying is my son,Challenger,1037 LP,128,52%
78,걸렸다 내정체,Challenger,1037 LP,86,56%
79,원딜 왕자 이채환,Challenger,1037 LP,101,58%
80,Vlbra,Challenger,1036 LP,329,54%
81,쭌 베,Challenger,1036 LP,324,55%
82,리치 or 개복치,Challenger,1035 LP,302,53%
83,아니 만나다,Challenger,1034 LP,188,56%
84,li cang hai,Challenger,1031 LP,94,57%
85,롤오브레전드1234,Challenger,1026 LP,261,59%
86,xinnian0,Challenger,1023 LP,61,57%
87,Tangwagege,Challenger,1020 LP,376,53%
88,SANDBOX Lonely,Challenger,1020 LP,291,54%
89,ilgwom,Challenger,998 LP,92,56%
90,울부짖는뽀삐,Challenger,1008 LP,180,55%
91,MAI WAY,Challenger,1001 LP,119,60%
92,Laht,Challenger,982 LP,366,51%
93,백수넛,Challenger,993 LP,352,53%
94,T1 Kuri,Challenger,968 LP,484,52%
95,MyMagicBurnYou,Challenger,984 LP,370,53%
96,Iove galio,Challenger,978 LP,161,55%
97,GIDE0N,Challenger,978 LP,365,54%
98,xishouj1an,Challenger,971 LP,79,57%
99,samd de ba ba,Challenger,971 LP,73,55%
100,서포터할줄알아요,Challenger,962 LP,246,50%